"FETCH,A,161:1*","FETCH,161:399213F4D97C;","399213F4D97C","2025-12-05 16:00:50"
"FETCH,A,160:1*","FETCH,160:399213F4D97C;","399213F4D97C","2025-12-05 16:11:27"
"PUT,A,160:X919612F4D97C*","PUT,160:-2;","-2","2025-12-05 16:12:47"
"FETCH,A,160:1*","FETCH,160:399213F4D97C;","399213F4D97C","2025-12-05 16:12:50"
"FETCH,A,160:1*","FETCH,160:399213F4D97C;","399213F4D97C","2025-12-05 16:14:39"
"FETCH,A,160:1*","FETCH,160:303030000000;","303030000000","2025-12-05 16:46:58"
"FETCH,A,160:1*","FETCH,160:000000000000;","000000000000","2025-12-05 16:59:43"
"FETCH,A,160:1*","FETCH,160:000000000000;","000000000000","2025-12-05 17:01:00"
"PUT,A,160:X399213F4D913*","PUT,160:-2;","-2","2025-12-05 17:20:41"
"PUT,A,160:X399213F4D913*","PUT,160:-2;","F","2025-12-05 17:27:47"
"PUT,A,160:X399213F4D913*","PUT,160:-2;","F","2025-12-05 17:28:15"
"FETCH,A,160:1*","FETCH,160:000000000000;","P","2025-12-05 17:28:18"
"PUT,A,160:X399213F4D913*","PUT,160:-2;","F","2025-12-05 17:32:45"
"PUT,A,160:0X919612F4D97C",":*INPUT_FORMAT_ERR!Error: Invalid Command passed!;","Unknown","2025-12-08 10:29:46"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:29:49"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:29:52"
"PUT,A,160:919612F4D97C","PUT,360:0;:*INPUT_FORMAT_ERR!Error: Invalid Command passed!;","P","2025-12-08 10:30:10"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:30:13"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:30:16"
"PUT,A,160:0X919612F4D97C*","PUT,160:0;","P","2025-12-08 10:30:37"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:30:40"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:30:43"
"PUT,A,160:0X919612F4D97C*","PUT,160:0;","P","2025-12-08 10:31:44"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:31:47"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:31:50"
"FETCH,A,160:1*","FETCH,160:919612F4D97C;","Unknown","2025-12-08 10:31:53"
"FETCH,A,120:1*","FETCH,120:1;","Unknown","2025-12-08 10:31:56"
"FETCH,A,360:1*","FETCH,360:1;","Unknown","2025-12-08 10:31:59"
"PUT,A,160:0X919612F4D97C*","PUT,160:0;","P","2025-12-08 10:38:29"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:38:32"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:38:35"
"FETCH,A,160,161,162,163,164:1*","FETCH,F_FORMAT_ERR;","Invalid Format","2025-12-08 10:38:38"
"FETCH,A,120,121,122,123,124:1*","FETCH,F_FORMAT_ERR;","Invalid Format","2025-12-08 10:38:41"
"FETCH,A,360,361,362,363,364:1*","FETCH,F_FORMAT_ERR;","Invalid Format","2025-12-08 10:38:44"
"PUT,A,160:0X919612F4D97C*","PUT,160:0;","P","2025-12-08 10:39:31"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:39:34"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:39:37"
"FETCH,A,160:1*,161:1*,162:1*,163:1*,164:1*","FETCH,160:919612F4D97C,161:023013F4D97C,162:023011F4D97C,163:023014F4D97C,164:023013F4D97C;","Unknown","2025-12-08 10:39:40"
"FETCH,A,120:1*,121:1*,122:1*,123:1*,124:1*","FETCH,120:1,121:0,122:0,123:0,124:0;","Unknown","2025-12-08 10:39:43"
"FETCH,A,360:1*,361:1*,362:1*,363:1*,364:1*","FETCH,360:1,361:0,362:0,363:0,364:0;","Unknown","2025-12-08 10:39:46"
"PUT,A,160:0X919612F4D97C*","PUT,160:0;","P","2025-12-08 10:45:03"
"PUT,A,120:1*","PUT,120:0;","P","2025-12-08 10:45:06"
"PUT,A,360:1*","PUT,360:0;","P","2025-12-08 10:45:09"
"PUT,A,161:0X399213F4D97C*","PUT,161:0;","P","2025-12-08 10:45:12"
"PUT,A,121:1*","PUT,121:0;","P","2025-12-08 10:45:15"
"PUT,A,361:1*","PUT,361:0;","P","2025-12-08 10:45:18"
"PUT,A,162:0X119913F4D97C*","PUT,162:0;","P","2025-12-08 10:45:21"
"PUT,A,122:1*","PUT,122:0;","P","2025-12-08 10:45:24"
"PUT,A,362:1*","PUT,362:0;","P","2025-12-08 10:45:27"
"PUT,A,163:0XBC9814F4D97C*","PUT,163:0;","P","2025-12-08 10:45:30"
"PUT,A,123:1*","PUT,123:0;","P","2025-12-08 10:45:33"
"PUT,A,363:1*","PUT,363:0;","P","2025-12-08 10:45:36"
"PUT,A,164:0X5EC611F4D97C*","PUT,164:0;","P","2025-12-08 10:45:39"
"PUT,A,124:1*","PUT,124:0;","P","2025-12-08 10:45:42"
"PUT,A,364:1*","PUT,364:0;","P","2025-12-08 10:45:45"
"FETCH,A,160:1*,161:1*,162:1*,163:1*,164:1*","FETCH,160:919612F4D97C,161:399213F4D97C,162:119913F4D97C,163:BC9814F4D97C,164:5EC611F4D97C;","Unknown","2025-12-08 10:45:48"
"FETCH,A,120:1*,121:1*,122:1*,123:1*,124:1*","FETCH,120:1,121:1,122:1,123:1,124:1;","Unknown","2025-12-08 10:45:51"
"FETCH,A,360:1*,361:1*,362:1*,363:1*,364:1*","FETCH,360:1,361:1,362:1,363:1,364:1;","Unknown","2025-12-08 10:45:54"
